Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
example.org               example.org               AAAA   Success   Answer   53424     16 2606:2800:220:1:248:1893:...
example.org               example.org               A      Success   Answer   53424      4 93.184.216.34
example.org               example.org               A      Success   Answer   53424      4 93.184.216.34
download.documentfound... download.documentfound... CNAME  Success   Answer   19905      8 vm185.documentfoundation.org
download.documentfound... vm185.documentfoundati... AAAA   Success   Answer   19905     16 2a00:1828:a012:185::1
download.documentfound... download.documentfound... CNAME  Success   Answer   19905      8 vm185.documentfoundation.org
download.documentfound... vm185.documentfoundati... A      Success   Answer   19905      4 89.238.68.185
fp-vp.azureedge.net       fp-vp.azureedge.net       CNAME  Success   Answer     322      8 fp-vp.ec.azureedge.net
fp-vp.azureedge.net       fp-vp.ec.azureedge.net    CNAME  Success   Answer     322      8 cs9.wpc.v0cdn.net
fp-vp.azureedge.net       cs9.wpc.v0cdn.net         AAAA   Success   Answer     322     16 2606:2800:11f:17a5:191a:1...
fp-vp.azureedge.net       fp-vp.azureedge.net       CNAME  Success   Answer     322      8 fp-vp.ec.azureedge.net
fp-vp.azureedge.net       fp-vp.ec.azureedge.net    CNAME  Success   Answer     322      8 cs9.wpc.v0cdn.net
fp-vp.azureedge.net       cs9.wpc.v0cdn.net         A      Success   Answer     322      4 72.21.81.200
onecs-live.azureedge.net  onecs-live.azureedge.net  CNAME  Success   Answer     253      8 onecs-live.ec.azureedge.net
onecs-live.azureedge.net  onecs-live.ec.azureedg... CNAME  Success   Answer     253      8 cs9.wpc.v0cdn.net
onecs-live.azureedge.net  cs9.wpc.v0cdn.net         AAAA   Success   Answer     253     16 2606:2800:11f:17a5:191a:1...
onecs-live.azureedge.net  onecs-live.azureedge.net  CNAME  Success   Answer     253      8 onecs-live.ec.azureedge.net
onecs-live.azureedge.net  onecs-live.ec.azureedg... CNAME  Success   Answer     253      8 cs9.wpc.v0cdn.net
onecs-live.azureedge.net  cs9.wpc.v0cdn.net         A      Success   Answer     253      4 72.21.81.200
4e0243209dc80c19b76d30... 4e0243209dc80c19b76d30... CNAME  Success   Answer      10      8 cbr21prdapp01-canary.clou...
4e0243209dc80c19b76d30... cbr21prdapp01-canary.c... A      Success   Answer      10      4 20.36.72.49
ipv4only.arpa             ipv4only.arpa             A      Success   Answer   53409      4 192.0.0.171
ipv4only.arpa             ipv4only.arpa             A      Success   Answer   53409      4 192.0.0.170
ftp.osuosl.org            ftp.osuosl.org            AAAA   Success   Answer     207     16 2600:3402:200:227::2
ftp.osuosl.org            ftp.osuosl.org            AAAA   Success   Answer     207     16 2600:3404:200:237::2
ftp.osuosl.org            ftp.osuosl.org            AAAA   Success   Answer     207     16 2605:bc80:3010::134
ftp.osuosl.org            ftp.osuosl.org            A      Success   Answer      35      4 140.211.166.134
ftp.osuosl.org            ftp.osuosl.org            A      Success   Answer      35      4 64.50.233.100
ftp.osuosl.org            ftp.osuosl.org            A      Success   Answer      35      4 64.50.236.52
cs511.wpc.edgecastcdn.net cs511.wpc.edgecastcdn.net AAAA   Success   Answer    1915     16 2606:2800:21f:c0ec:d236:5...
cs511.wpc.edgecastcdn.net cs511.wpc.edgecastcdn.net A      Success   Answer    1270      4 152.199.24.184
syndication.twitter.com   syndication.twitter.com   A      Success   Answer    1268      4 104.244.42.200
syndication.twitter.com   syndication.twitter.com   A      Success   Answer    1268      4 104.244.42.136
syndication.twitter.com   syndication.twitter.com   A      Success   Answer    1268      4 104.244.42.72
syndication.twitter.com   syndication.twitter.com   A      Success   Answer    1268      4 104.244.42.8
vm185.documentfoundati... vm185.documentfoundati... AAAA   Success   Answer   25229     16 2a00:1828:a012:185::1
vm185.documentfoundati... vm185.documentfoundati... A      Success   Answer   23469      4 89.238.68.185
array612.prod.do.dsp.m... array612.prod.do.dsp.m... A      Success   Answer    2321      4 20.54.24.148
ocsp.digicert.com         ocsp.digicert.com         CNAME  Success   Answer     965      8 cs9.wac.phicdn.net
ocsp.digicert.com         cs9.wac.phicdn.net        A      Success   Answer     965      4 72.21.91.29
es.libreoffice.org        es.libreoffice.org        AAAA   Success   Answer   25199     16 2a00:1828:a012:168::1
es.libreoffice.org        es.libreoffice.org        A      Success   Answer    3276      4 89.238.68.168
cs41.wac.edgecastcdn.net  cs41.wac.edgecastcdn.net  A      Success   Answer    2781      4 72.21.91.66
